All Companies,Screener,Symbol,Lot Size (Feb 2026),Lot Size (Mar 2026),Lot Size (Apr 2026)
HCL Technologies,https://scanx.trade/company/hcltech,HCLTECH,350,350,350
HDFC AMC,https://scanx.trade/company/hdfcamc,HDFCAMC,300,300,300
HDFC Bank,https://scanx.trade/company/hdfcbank,HDFCBANK,550,550,550
HDFC Life,https://scanx.trade/company/hdfclife,HDFCLIFE,1100,1100,1100
Hero MotoCorp,https://scanx.trade/company/heromotoco,HEROMOTOCO,150,150,150
Hindalco,https://scanx.trade/company/hindalco,HINDALCO,700,700,700
Hindustan Petroleum,https://scanx.trade/company/hindpetro,HINDPETRO,2025,2025,2025
Hindustan Unilever,https://scanx.trade/company/hindunilvr,HINDUNILVR,300,300,300
Hindustan Zinc,https://scanx.trade/company/hindzinc,HINDZINC,1225,1225,1225
Hyundai Motor India,https://scanx.trade/company/hyundai,HYUNDAI,275,275,275
ICICI Bank,https://scanx.trade/company/icicibank,ICICIBANK,700,700,700
ICICI Lombard,https://scanx.trade/company/icicigi,ICICIGI,325,325,325
ICICI Prudential Life,https://scanx.trade/company/icicipruli,ICICIPRULI,925,925,925
Vodafone Idea,https://scanx.trade/company/idea,IDEA,71475,71475,71475
IDFC First Bank,https://scanx.trade/company/idfcfirstb,IDFCFIRSTB,9275,9275,9275
Indian Energy Exchange,https://scanx.trade/company/iex,IEX,3750,3750,3750
Indian Hotels,https://scanx.trade/company/indhotel,INDHOTEL,1000,1000,1000
Indian Bank,https://scanx.trade/company/indianb,INDIANB,1000,1000,1000
IndiGo,https://scanx.trade/company/indigo,INDIGO,150,150,150
IndusInd Bank,https://scanx.trade/company/indusindbk,INDUSINDBK,700,700,700
Indus Towers,https://scanx.trade/company/industower,INDUSTOWER,1700,1700,1700
Infosys,https://scanx.trade/company/infy,INFY,400,400,400
Inox Wind,https://scanx.trade/company/inoxwind,INOXWIND,3575,3575,3575
Indian Oil Corp,https://scanx.trade/company/ioc,IOC,4875,4875,4875
IREDA,https://scanx.trade/company/ireda,IREDA,3450,3450,3450
IRFC,https://scanx.trade/company/irfc,IRFC,4250,4250,4250
ITC,https://scanx.trade/company/itc,ITC,1600,1600,1600
Jindal Steel,https://scanx.trade/company/jindalstel,JINDALSTEL,625,625,625
Jio Financial,https://scanx.trade/company/jiofin,JIOFIN,2350,2350,2350
JSW Energy,https://scanx.trade/company/jswenergy,JSWENERGY,1000,1000,1000
JSW Steel,https://scanx.trade/company/jswsteel,JSWSTEEL,675,675,675
Jubilant FoodWorks,https://scanx.trade/company/jublfood,JUBLFOOD,1250,1250,1250
Kalyan Jewellers,https://scanx.trade/company/kalyankjil,KALYANKJIL,1175,1175,1175
Kaynes Technology,https://scanx.trade/company/kaynes,KAYNES,100,100,100
KEI Industries,https://scanx.trade/company/kei,KEI,175,175,175
KFin Technologies,https://scanx.trade/company/kfintech,KFINTECH,500,500,500
Kotak Bank,https://scanx.trade/company/kotakbank,KOTAKBANK,2000,2000,2000
KPIT Technologies,https://scanx.trade/company/kpittech,KPITTECH,425,425,425
